Batch,Condition,Timestamp_us,Deformability,Area,RingRatio,Brightness_Q1,Brightness_Q2,Brightness_Q3,Brightness_Q4
1,0603_hek_10uM_1h_1940_1,1748951291856611,0.0622735,701.5,19.6469,169,176,185,207
1,0603_hek_10uM_1h_1940_1,1748951291860205,0.060949,964,22.7266,169,178,187,209
1,0603_hek_10uM_1h_1940_1,1748951291867203,0.0872161,942,22.4054,168,176,185,206
1,0603_hek_10uM_1h_1940_1,1748951291870002,0.0714098,602,19.9875,168,177,186,211
1,0603_hek_10uM_1h_1940_1,1748951291875199,0.104345,740.5,21.2014,168,177,185,212
1,0603_hek_10uM_1h_1940_1,1748951291891407,0.067245,845.5,20.3715,168,175,185,205
1,0603_hek_10uM_1h_1940_1,1748951291891998,0.0788203,380.5,17.3061,165,172,180,203
1,0603_hek_10uM_1h_1940_1,1748951291894803,0.054302,925,21.9431,169,177,186,207
1,0603_hek_10uM_1h_1940_1,1748951291903600,0.0532031,708,16.6883,168,173,180,201
1,0603_hek_10uM_1h_1940_1,1748951291904466,0.0784043,552,18.6548,168,177,187,211
1,0603_hek_10uM_1h_1940_1,1748951291908804,0.0621688,772.5,20.9762,168,175,185,210
1,0603_hek_10uM_1h_1940_1,1748951291910009,0.0933621,667,21,168,176,186,204
1,0603_hek_10uM_1h_1940_1,1748951291915798,0.0477372,704.5,20.6155,168,176,183,204
1,0603_hek_10uM_1h_1940_1,1748951291918816,0.13989,705.5,20.5548,169,177,186,206
1,0603_hek_10uM_1h_1940_1,1748951291921207,0.0486606,752,20.5548,169,177,185,210
1,0603_hek_10uM_1h_1940_1,1748951291931003,0.0709123,929.5,22.9783,169,177,186,203
1,0603_hek_10uM_1h_1940_1,1748951291932219,0.0665597,860.5,20.3715,168,173,179,202
1,0603_hek_10uM_1h_1940_1,1748951291941681,0.049048,702.5,21.5291,169,177,186,205
1,0603_hek_10uM_1h_1940_1,1748951291944200,0.0571254,668.5,19.5064,169,175,182,203
