Batch,Condition,Timestamp_us,Deformability,Area,RingRatio,Brightness_Q1,Brightness_Q2,Brightness_Q3,Brightness_Q4
1,0603_hek_control_1,1748944381948736,0.0671063,885,21.6679,170,178,188,210
1,0603_hek_control_1,1748944381948938,0.0685796,945.5,22.2486,171,179,188,210
1,0603_hek_control_1,1748944381951717,0.0970417,1341,24.4233,172,180,189,211
1,0603_hek_control_1,1748944381955716,0.0593286,807.5,20.3347,170,178,186,204
1,0603_hek_control_1,1748944381968914,0.0498899,772.5,20.3593,171,178,187,205
1,0603_hek_control_1,1748944381975515,0.0388516,679.5,18.6011,170,177,185,202
1,0603_hek_control_1,1748944381979729,0.0468758,668.5,19.3391,170,178,186,202
1,0603_hek_control_1,1748944381982521,0.056908,892.5,22.0794,170,178,187,210
1,0603_hek_control_1,1748944381995939,0.0534134,929.5,22.9674,172,179,188,207
1,0603_hek_control_1,1748944381996919,0.0534077,785,21.7256,172,180,187,203
1,0603_hek_control_1,1748944382016128,0.0459306,764,20.6761,170,178,186,210
1,0603_hek_control_1,1748944382025941,0.0366921,683,20.4328,170,178,186,205
1,0603_hek_control_1,1748944382039713,0.0895064,629,19.685,170,178,185,202
1,0603_hek_control_1,1748944382058347,0.0252454,971,22.2036,171,180,186,206
1,0603_hek_control_1,1748944382066116,0.0488475,865.5,21.272,170,178,186,199
1,0603_hek_control_1,1748944382068114,0.0350879,840,21.7025,170,178,186,210
1,0603_hek_control_1,1748944382069520,0.0359623,916,22.1133,171,179,188,218
1,0603_hek_control_1,1748944382082315,0.0440637,639.5,19.6342,170,178,187,210
1,0603_hek_control_1,1748944382082534,0.0575186,797.5,20.6761,170,179,188,207
1,0603_hek_control_1,1748944382107115,0.0346508,857.5,20.7846,170,178,186,211
1,0603_hek_control_1,1748944382115123,0.0246308,1006,22.3271,170,178,187,209
1,0603_hek_control_1,1748944382115916,0.0348942,718.5,20.8926,172,179,187,202
1,0603_hek_control_1,1748944382132715,0.0235201,704,18.8547,170,177,186,203
1,0603_hek_control_1,1748944382140770,0.0513803,782.5,20.1742,170,178,187,211
1,0603_hek_control_1,1748944382152516,0.0300346,676,15.1327,169,175,180,198
1,0603_hek_control_1,1748944382175518,0.0493773,815.5,21.272,170,178,188,209
1,0603_hek_control_1,1748944382178366,0.0404927,927.5,23.0326,171,179,187,210
1,0603_hek_control_1,1748944382179518,0.0391337,991.5,22.0681,170,177,186,214
1,0603_hek_control_1,1748944382213314,0.0432275,688.5,19.9875,170,178,186,205
1,0603_hek_control_1,1748944382226518,0.0419484,689.5,20.8567,171,178,186,201
1,0603_hek_control_1,1748944382248522,0.0688544,919,22.1472,171,180,187,206
1,0603_hek_control_1,1748944382258721,0.0426174,820,20.6155,170,178,186,205
1,0603_hek_control_1,1748944382260313,0.032523,615.5,19.7737,170,179,186,203
1,0603_hek_control_1,1748944382260960,0.016147,407.5,16,170,174,178,191
1,0603_hek_control_1,1748944382264921,0.0469571,734,20.1618,169,177,184,207
1,0603_hek_control_1,1748944382265917,0.0479102,774,21.4476,170,178,187,205
1,0603_hek_control_1,1748944382269512,0.0467589,812,20.6034,171,178,186,202
1,0603_hek_control_1,1748944382276122,0.0283555,980.5,20.2114,172,178,184,198
1,0603_hek_control_1,1748944382288317,0.0531274,857.5,19.8872,172,178,186,206
1,0603_hek_control_1,1748944382288719,0.0370071,887.5,21.5754,170,178,186,210
1,0603_hek_control_1,1748944382290316,0.0445957,812,20.664,170,178,187,209
1,0603_hek_control_1,1748944382295544,0.0400805,725,19.6469,170,178,186,210
1,0603_hek_control_1,1748944382299321,0.0458851,743,20.3101,170,179,188,207
1,0603_hek_control_1,1748944382302119,0.0173613,910,21.8289,171,178,187,212
1,0603_hek_control_1,1748944382302711,0.0295687,632,17.1172,170,176,182,197
1,0603_hek_control_1,1748944382305118,0.0420226,943,22.5056,171,178,189,210
1,0603_hek_control_1,1748944382312692,0.0612661,843,21.7141,171,178,187,205
1,0603_hek_control_1,1748944382313214,0.0461536,1099,24.135,171,180,189,213
1,0603_hek_control_1,1748944382317717,0.0442551,612,19.105,170,178,186,199
1,0603_hek_control_1,1748944382322318,0.0341151,751.5,20.5061,171,178,187,209
1,0603_hek_control_1,1748944382324522,0.0376653,1206,23.0326,172,180,188,207
1,0603_hek_control_1,1748944382325921,0.0160881,776,19.5576,169,174,182,210
1,0603_hek_control_1,1748944382326134,0.0328372,705,19.6087,170,178,186,201
1,0603_hek_control_1,1748944382344315,0.0469147,812,20.8926,170,178,186,207
1,0603_hek_control_1,1748944382345403,0.0234023,666.5,19.3778,170,178,186,210
1,0603_hek_control_1,1748944382351113,0.0469983,831.5,21.4826,171,179,187,213
1,0603_hek_control_1,1748944382354715,0.0320404,695,20.664,170,179,188,205
1,0603_hek_control_1,1748944382355119,0.0357027,1064.5,22.9565,172,178,188,207
1,0603_hek_control_1,1748944382355722,0.0532787,875,20.6155,169,177,185,205
1,0603_hek_control_1,1748944382358110,0.0375727,770.5,18.5472,171,177,186,202
1,0603_hek_control_1,1748944382358719,0.0609489,831,21.2132,170,177,185,215
1,0603_hek_control_1,1748944382359111,0.0337974,605.5,16.1555,172,176,180,204
1,0603_hek_control_1,1748944382359538,0.0265779,660,19.8872,171,179,186,201
1,0603_hek_control_1,1748944382379918,0.0381283,861.5,20.4817,171,178,186,205
1,0603_hek_control_1,1748944382381911,0.033444,727,21.2603,171,178,186,205
1,0603_hek_control_1,1748944382382311,0.0285869,683.5,17.9583,171,176,181,197
1,0603_hek_control_1,1748944382395319,0.0327088,911.5,20.1742,171,178,186,203
1,0603_hek_control_1,1748944382396110,0.029252,699,20.2114,170,178,186,210
1,0603_hek_control_1,1748944382407115,0.0137105,814,20.3715,170,176,181,206
1,0603_hek_control_1,1748944382408118,0.0579493,950.5,22.1811,171,178,186,204
1,0603_hek_control_1,1748944382411540,0.0261166,760.5,20.4695,170,178,186,207
1,0603_hek_control_1,1748944382419745,0.0492414,931.5,21.0357,170,178,187,207
1,0603_hek_control_1,1748944382424518,0.0209296,846,22.0907,171,180,188,212
1,0603_hek_control_1,1748944382427915,0.0424666,815.5,20.7605,171,178,186,206
1,0603_hek_control_1,1748944382428355,0.0236303,630,18.868,170,178,186,206
1,0603_hek_control_1,1748944382449919,0.043697,898,21.5639,171,178,187,210
1,0603_hek_control_1,1748944382467916,0.0313569,763,20.6882,170,178,186,210
1,0603_hek_control_1,1748944382470915,0.028824,754.5,21.0119,170,177,186,210
1,0603_hek_control_1,1748944382478122,0.0381386,879,21.0594,172,179,186,203
1,0603_hek_control_1,1748944382481762,0.036601,844,20.7364,170,178,187,212
1,0603_hek_control_1,1748944382491317,0.059158,951.5,20.3593,170,177,186,202
1,0603_hek_control_1,1748944382498174,0.0472412,725.5,20.4939,170,178,186,205
1,0603_hek_control_1,1748944382506518,0.0381703,747.5,21.095,172,179,186,202
